auction_id,item_id,bid_number,time_of_bid,amount,isproxy
103664,7462640,1,2025-11-20T21:04:28-0500,75,False
103664,7462640,2,2025-11-20T21:04:18-0500,70,False
103664,7462640,3,2025-11-20T21:03:04-0500,65,False
103664,7462640,4,2025-11-20T21:02:03-0500,60,False
103664,7462640,5,2025-11-20T21:01:48-0500,55,False
103664,7462640,6,2025-11-20T21:00:28-0500,50,False
103664,7462640,7,2025-11-20T21:00:19-0500,45,True
103664,7462640,8,2025-11-20T21:00:20-0500,45,False
103664,7462640,9,2025-11-20T20:59:19-0500,38,False
103664,7462640,10,2025-11-20T20:59:19-0500,35,True
103664,7462640,11,2025-11-20T20:53:55-0500,30,False
103664,7462640,12,2025-11-19T19:02:46-0500,27,False
103664,7462640,13,2025-11-19T19:02:46-0500,25,True
103664,7462640,14,2025-11-19T19:02:44-0500,24,True
103664,7462640,15,2025-11-19T19:02:44-0500,21,False
103664,7462640,16,2025-11-18T18:51:36-0500,18,False
103664,7462640,17,2025-11-18T04:59:51-0500,15,True
103664,7462640,18,2025-11-18T04:59:52-0500,15,False
103664,7462640,19,2025-11-17T14:09:55-0500,11,True
103664,7462640,20,2025-11-17T14:09:55-0500,10,False
103664,7462640,21,2025-11-17T11:25:25-0500,6,False
103664,7462640,22,2025-11-17T06:36:25-0500,5,False
103664,7462640,23,2025-11-17T06:36:21-0500,4,True
103664,7462640,24,2025-11-17T06:36:21-0500,3,False
103664,7462640,25,2025-11-16T20:12:08-0500,2,False
103664,7462640,26,2025-11-16T19:56:19-0500,1,False
103664,7462635,1,2025-11-20T20:04:02-0500,320,False
103664,7462635,2,2025-11-20T19:46:06-0500,310,False
103664,7462635,3,2025-11-20T19:46:03-0500,300,True
103664,7462635,4,2025-11-20T19:46:04-0500,300,False
103664,7462635,5,2025-11-20T18:44:23-0500,280,True
103664,7462635,6,2025-11-20T18:44:23-0500,270,False
103664,7462635,7,2025-11-20T18:29:44-0500,260,True
103664,7462635,8,2025-11-20T18:29:44-0500,250,False
103664,7462635,9,2025-11-20T18:28:06-0500,225,True
103664,7462635,10,2025-11-20T18:28:06-0500,215,False
103664,7462635,11,2025-11-20T18:27:57-0500,205,True
103664,7462635,12,2025-11-20T18:27:57-0500,195,False
103664,7462635,13,2025-11-20T18:25:15-0500,185,True
103664,7462635,14,2025-11-20T18:25:15-0500,175,False
103664,7462635,15,2025-11-20T18:25:11-0500,165,True
103664,7462635,16,2025-11-20T18:25:11-0500,155,False
103664,7462635,17,2025-11-20T18:24:37-0500,145,False
103664,7462635,18,2025-11-20T16:40:41-0500,135,False
103664,7462635,19,2025-11-20T16:40:38-0500,125,True
103664,7462635,20,2025-11-20T16:40:38-0500,115,False
103664,7462635,21,2025-11-20T16:40:12-0500,105,False
103664,7462635,22,2025-11-20T16:40:12-0500,100,True
103664,7462635,23,2025-11-20T15:01:35-0500,95,True
103664,7462635,24,2025-11-20T15:01:35-0500,90,False
103664,7462635,25,2025-11-20T15:00:56-0500,85,True
103664,7462635,26,2025-11-20T15:00:56-0500,80,False
103664,7462635,27,2025-11-20T10:10:52-0500,75,True
103664,7462635,28,2025-11-20T10:10:52-0500,70,False
103664,7462635,29,2025-11-17T00:08:30-0500,50,False
103664,7462635,30,2025-11-17T00:08:30-0500,45,True
103664,7462635,31,2025-11-16T22:12:31-0500,8,True
103664,7462635,32,2025-11-16T22:12:31-0500,7,False
103664,7462635,33,2025-11-16T22:12:22-0500,5,True
103664,7462635,34,2025-11-16T22:12:22-0500,4,False
103664,7462635,35,2025-11-16T20:27:43-0500,2,False
103664,7462635,36,2025-11-16T19:56:07-0500,1,False
103664,7462634,1,2025-11-20T20:57:21-0500,14,False
103664,7462634,2,2025-11-20T13:18:07-0500,11,False
103664,7462634,3,2025-11-20T13:18:06-0500,10,True
103664,7462634,4,2025-11-20T13:18:06-0500,9,False
103664,7462634,5,2025-11-20T13:18:05-0500,8,True
103664,7462634,6,2025-11-20T13:18:05-0500,7,False
103664,7462634,7,2025-11-20T12:14:23-0500,6,False
103664,7462634,8,2025-11-20T12:10:43-0500,5,False
103664,7462634,9,2025-11-20T12:10:41-0500,4,True
103664,7462634,10,2025-11-20T12:10:41-0500,3,False
103664,7462634,11,2025-11-20T10:01:50-0500,2,False
103664,7462634,12,2025-11-19T20:33:15-0500,1,False
103664,7462641,1,2025-11-20T21:07:31-0500,85,False
103664,7462641,2,2025-11-20T21:05:56-0500,80,False
103664,7462641,3,2025-11-20T21:05:24-0500,75,False
103664,7462641,4,2025-11-20T21:03:51-0500,70,False
103664,7462641,5,2025-11-20T21:03:11-0500,65,False
103664,7462641,6,2025-11-20T21:02:36-0500,60,False
103664,7462641,7,2025-11-20T21:01:56-0500,55,False
103664,7462641,8,2025-11-20T21:00:54-0500,50,False
103664,7462641,9,2025-11-20T21:00:50-0500,45,True
103664,7462641,10,2025-11-20T21:00:50-0500,41,False
103664,7462641,11,2025-11-20T20:59:35-0500,38,False
103664,7462641,12,2025-11-20T20:14:10-0500,35,False
103664,7462641,13,2025-11-20T16:04:18-0500,32,True
103664,7462641,14,2025-11-20T16:04:18-0500,31,False
103664,7462641,15,2025-11-19T23:25:14-0500,28,False
103664,7462641,16,2025-11-19T23:25:14-0500,25,True
103664,7462641,17,2025-11-19T19:30:41-0500,23,False
103664,7462641,18,2025-11-18T04:04:02-0500,20,True
103664,7462641,19,2025-11-18T04:04:02-0500,18,False
103664,7462641,20,2025-11-17T23:39:32-0500,15,False
103664,7462641,21,2025-11-17T23:39:32-0500,12,True
103664,7462641,22,2025-11-17T23:32:05-0500,11,False
103664,7462641,23,2025-11-17T23:31:59-0500,10,True
103664,7462641,24,2025-11-17T23:32:00-0500,10,False
103664,7462641,25,2025-11-17T23:31:53-0500,7,True
103664,7462641,26,2025-11-17T23:31:53-0500,6,False
103664,7462641,27,2025-11-17T23:31:47-0500,5,True
103664,7462641,28,2025-11-17T23:31:47-0500,4,False
103664,7462641,29,2025-11-17T16:09:23-0500,3,False
103664,7462641,30,2025-11-17T04:54:10-0500,2,False
103664,7462641,31,2025-11-16T22:26:33-0500,1,False
103664,7462637,1,2025-11-20T21:00:17-0500,20,False
103664,7462637,2,2025-11-20T21:00:09-0500,17,False
