feature,importance
attr_year,0.11496815
combined_emb_8,0.066565715
viewed,0.042563636
condition_lightly_used,0.03494376
attributes_log,0.027764227
condition_unknown,0.027434347
cat_art,0.02726281
has_partner_url,0.025427502
combined_emb_11,0.02104822
pickup_day_Sunday,0.020145223
combined_emb_3,0.020139154
description_length,0.01651153
postal_code_pd_N,0.015610567
condition_heavily_used,0.015267391
combined_emb_2,0.013619336
combined_emb_14,0.013192094
combined_emb_5,0.013010123
cat_jewellery,0.012562857
desc_has_damaged,0.012543418
combined_emb_12,0.01226508
description_richness,0.0121912835
combined_emb_6,0.012182709
combined_emb_4,0.011586308
combined_emb_15,0.011561262
items_count,0.011506602
combined_emb_7,0.011274488
items_pair,0.010977284
attributes_count,0.0107609825
bidding_extended,0.010495276
categories_count,0.010382751
condition_new,0.010324428
combined_emb_9,0.009940133
pickup_time_hour,0.009897709
combined_emb_13,0.009863075
pickup_day_Friday,0.009682651
title_length,0.009532426
qualitative_description_length,0.009355818
pickup_day_Thursday,0.009151392
combined_emb_0,0.009064177
attr_medium,0.009003105
combined_emb_10,0.008828659
data_completeness_score,0.008806106
intro_length,0.008559175
desc_has_new,0.008460114
combined_emb_1,0.008442021
attr_color,0.008015706
cat_furniture,0.007969319
auction_length_hours,0.007927835
has_attributes,0.007218539
brand_Royal_Canadian_Mint,0.0066433
brand_unbranded,0.006048402
cat_jewelry,0.0057930523
cat_lighting,0.005773579
catalog_lots,0.0057422854
postal_code_pd_M,0.0056100553
auction_id,0.005381884
num_items_log,0.0053097447
items_few,0.0049520023
numItems,0.0046966905
cat_decor,0.0043930016
is_storage_unit_auction,0.00402995
items_several,0.004028625
cat_coins,0.0039433516
is_seller_managed,0.003796801
attr_material,0.0037045607
auction_id_enriched,0.0035767274
items_detail_log,0.0035053443
attr_pattern,0.0034418355
is_condo_auction,0.0034386592
pickup_is_weekend,0.0033707493
attr_size,0.003174739
postal_code_pd_L,0.00289257
brands_count,0.0028619112
brand_Unknown,0.0028213216
cat_gemstones,0.0026791536
pickup_during_work_hours,0.0025571084
postal_code_pd_K,0.0023138663
cat_collectibles,0.0022920258
attr_width_in,0.0022331493
attr_format,0.002161083
pickup_day_Monday,0.0021170422
desc_has_vintage,0.0021016565
attr_frame_material,0.00206682
brand_various,0.002048938
brand_unknown,0.0020387091
brand_,0.001950135
attr_height_inches,0.0019044959
brand_Unbranded,0.0019036155
cat_books,0.0016305401
pickup_day_Saturday,0.0014915187
pickup_day_Wednesday,0.00147779
attr_style,0.0014760287
cat_home_decor,0.0013283162
attr_height_in,0.0012946794
cat_drinkware,0.0012360901
pickup_day_Tuesday,0.001224509
attr_dimensions,0.0012201269
brand_Sony,0.0011368289
is_single_item,0.0010234198
attr_height,0.0010007613
attr_origin,0.0009488984
brand_Various,0.0009464981
cat_tableware,0.00094329036
postal_code_pd_P,0.0007492168
cat_kitchenware,0.0007449434
cat_tools,0.0006201886
cat_electronics,0.0006070566
cat_serveware,0.00060095877
brand_Marvel,0.0005294646
cat_kitchen,0.0005226354
cat_clothing,0.0004741293
cat_storage,0.00037284498
brand_Royal_Doulton,0.00025769247
items_single,0.0002560898
item_id,0.00023904629
brand_IKEA,0.00019030295
condition_graded,0.00016045419
cat_figurines,0.00012484576
brand_Pyrex,6.5367465e-05
has_brand,0.0
has_qualitative_desc,0.0
has_description,0.0
has_multiple_brands,0.0
brand_Canada_Post,0.0
brand_O_Pee_Chee,0.0
brand_Upper_Deck,0.0
brand_Disney,0.0
brand_DC_Comics,0.0
brand_Topps,0.0
cat_glassware,0.0
brand_Royal_Albert,0.0
is_working,0.0
cat_ceramics,0.0
cat_music,0.0
cat_toys,0.0
items_many,0.0
has_items_detail,0.0
desc_has_luxury,0.0
has_series_line,0.0
