feature,importance
is_seller_managed,0.06979217
attributes_log,0.054001167
attributes_count,0.044458073
postal_code_pd_K,0.035131507
cat_books,0.026127657
pickup_day_Tuesday,0.01725022
distanceMeters,0.017236307
saleCategory_Estate Sale,0.01693569
city_Oakville,0.015322346
pickup_during_work_hours,0.013217098
catalog_lots,0.012395342
combined_emb_18,0.012188964
brand_,0.012162753
has_partner_url,0.010815501
attr_format,0.010420707
combined_emb_51,0.010352576
cat_jewellery,0.010337467
saleCategory_Downsizing,0.010282646
cat_kitchenware,0.010170427
combined_emb_29,0.010022515
has_attributes,0.0097899325
region_Horseshoe,0.00874271
combined_emb_5,0.008697989
combined_emb_6,0.008491121
lat,0.008453275
pickup_is_weekend,0.008406832
brand_unknown,0.008313601
cat_tools,0.00825384
intro_length,0.0080246255
saleCategory_Reseller,0.007877922
combined_emb_52,0.007794824
combined_emb_14,0.0074449703
combined_emb_27,0.0069254623
cat_glassware,0.0068355
qualitative_description_length,0.006813497
amAuctionId,0.0067698983
region_GTA,0.0065185516
pickup_day_Thursday,0.0064758845
cat_drinkware,0.006378636
attr_size,0.0063320175
lng,0.006310409
pickup_day_Sunday,0.0062666233
attr_medium,0.006237427
pickup_time_hour,0.00613981
is_storage_unit_auction,0.006100788
postal_code_pd_L,0.006065489
combined_emb_7,0.006038639
combined_emb_4,0.0060263486
city_Brampton,0.0059778295
is_single_item,0.005834303
brand_unbranded,0.005795196
numItems,0.0057430607
attr_style,0.005731906
combined_emb_10,0.0057198815
combined_emb_47,0.0056192945
pickup_day_Saturday,0.005535282
combined_emb_43,0.00550694
num_items_log,0.0054820133
city_Newmarket,0.0054633087
combined_emb_9,0.0054429034
cat_home_decor,0.005356203
combined_emb_46,0.0050497307
combined_emb_13,0.0049144113
city_Belleville,0.004879349
cat_jewelry,0.0048295613
brand_Royal_Doulton,0.0046885973
combined_emb_44,0.0046390593
data_completeness_score,0.0046160356
city_Mississauga,0.0045200908
combined_emb_24,0.0044925553
attr_year,0.004488412
cat_furniture,0.0044832323
combined_emb_15,0.0044647427
auction_length_hours,0.004444117
combined_emb_33,0.004431506
city_Burlington,0.0043399436
attr_pattern,0.004327488
