feature,importance
is_seller_managed,0.07204822
attributes_log,0.052434005
attributes_count,0.036684796
postal_code_pd_M,0.01879583
cat_books,0.018204754
postal_code_pd_K,0.018133508
saleCategory_Estate Sale,0.016972326
city_Hamilton,0.016668612
city_Oakville,0.016404074
distanceMeters,0.015876489
pickup_day_Tuesday,0.015344191
catalog_lots,0.014208759
region_Peterborough,0.0134758325
has_partner_url,0.012714009
attr_medium,0.012349243
combined_emb_29,0.011862103
combined_emb_18,0.011608768
saleCategory_Downsizing,0.011598574
pickup_is_weekend,0.011471679
saleCategory_Reseller,0.010909462
city_Aurora,0.010694195
combined_emb_6,0.010141964
pickup_during_work_hours,0.009570595
cat_tools,0.0094229
combined_emb_14,0.009162511
brand_,0.008968408
cat_jewellery,0.00885683
combined_emb_5,0.00874872
attr_format,0.008470265
brand_unknown,0.008368771
intro_length,0.00833602
attr_size,0.008182531
city_Brampton,0.007749003
cat_kitchenware,0.0076870113
cat_glassware,0.007619437
combined_emb_52,0.007564068
cat_drinkware,0.007300427
lat,0.007132094
combined_emb_15,0.007043074
combined_emb_4,0.0070404774
pickup_time_hour,0.0069350284
is_single_item,0.006754148
numItems,0.0067076613
items_count,0.006617161
city_Newmarket,0.006522274
combined_emb_10,0.0063622547
combined_emb_7,0.006341705
pickup_day_Sunday,0.00628184
num_items_log,0.0062288274
combined_emb_43,0.0060206912
combined_emb_47,0.0060069165
brand_Royal_Doulton,0.005991176
region_Horseshoe,0.0059389607
combined_emb_9,0.005882987
postal_code_pd_P,0.0058721364
brand_unbranded,0.0058232285
lng,0.005815478
city_Belleville,0.0055843242
cat_home_decor,0.0053086127
is_storage_unit_auction,0.005239689
combined_emb_27,0.00510157
city_Toronto,0.0050949696
combined_emb_46,0.005043929
saleCategory_Moving,0.004954747
combined_emb_13,0.004909374
region_Barrie,0.004868671
combined_emb_25,0.004743549
city_London,0.0047259675
pickup_day_Saturday,0.0046723005
brand_Pyrex,0.0046442403
saleCategory_Business Downsizing,0.0045808097
combined_emb_44,0.0045785434
combined_emb_38,0.0045160195
attr_year,0.0043967725
combined_emb_24,0.0043690363
combined_emb_31,0.004243145
combined_emb_0,0.0041639195
combined_emb_8,0.004046689
combined_emb_26,0.004029518
combined_emb_33,0.004025455
pickup_day_Friday,0.0039811083
amAuctionId,0.0039282283
pickup_day_Thursday,0.003894558
qualitative_description_length,0.0038517257
combined_emb_17,0.003850079
attr_style,0.003847024
combined_emb_58,0.00381864
items_detail_log,0.0038140048
combined_emb_32,0.003750309
combined_emb_51,0.0036052805
cat_furniture,0.003402255
city_Burlington,0.0033950706
combined_emb_28,0.0033612747
city_Mississauga,0.0032601634
combined_emb_41,0.0032204029
cat_clothing,0.0032181155
attr_material,0.0031963324
combined_emb_22,0.003116237
region_GTA,0.0030648413
combined_emb_54,0.003044537
description_length,0.003032009
auction_length_hours,0.0030069475
cat_jewelry,0.002978118
saleCategory_Commercial Liquidation,0.0029473724
attr_color,0.0029208697
is_condo_auction,0.0029198066
postal_code_pd_N,0.0029113053
combined_emb_20,0.002854443
combined_emb_19,0.002809857
combined_emb_3,0.002730087
combined_emb_16,0.0026944058
combined_emb_59,0.0026864058
combined_emb_55,0.0026753081
combined_emb_42,0.0026527208
data_completeness_score,0.00259622
combined_emb_1,0.0025815594
combined_emb_23,0.00257356
combined_emb_40,0.002566981
description_richness,0.0025647418
postal_code_pd_L,0.0025179074
cat_art,0.002498566
combined_emb_62,0.0024693387
combined_emb_21,0.0023666818
combined_emb_50,0.002344759
brand_Marvel,0.0023086471
combined_emb_45,0.002305358
combined_emb_37,0.0022693542
cat_collectibles,0.0022600854
has_attributes,0.002230271
attr_pattern,0.0022291779
cat_figurines,0.0021942349
combined_emb_2,0.0021502445
combined_emb_49,0.002115764
combined_emb_60,0.002107342
cat_decor,0.0020706756
combined_emb_34,0.002060437
combined_emb_30,0.0020399438
combined_emb_48,0.0020254191
combined_emb_12,0.0020095285
combined_emb_39,0.0019977246
combined_emb_53,0.0019452083
attr_height_inches,0.0018861647
city_Pickering,0.001876003
combined_emb_61,0.0018423261
combined_emb_11,0.0018307106
combined_emb_57,0.001746639
brands_count,0.0017263496
brand_Canada_Post,0.0017245046
cat_music,0.0017027365
combined_emb_35,0.0016105329
combined_emb_63,0.0015927089
attr_height_in,0.0015295525
city_Vaughan,0.0014666573
region_London,0.0014407822
combined_emb_36,0.0013616497
cat_electronics,0.0013552073
desc_has_vintage,0.0013051464
brand_Upper_Deck,0.0012627296
cat_ceramics,0.0012622396
combined_emb_56,0.001253233
saleCategory_Charity/Fundraising,0.001232491
cat_kitchen,0.0011527099
title_length,0.0011339235
categories_count,0.0010098458
cat_lighting,0.0009196147
city_Richmond Hill,0.0008595534
cat_tableware,0.00084967754
pickup_day_Wednesday,0.0007940751
cat_serveware,0.0006637856
items_single_day,0.0
items_single_month,0.0
items_single_dayofweek,0.0
hasShipping,0.0
pickup_day_Monday,0.0
items_single_hour,0.0
items_few_month,0.0
city_St. Catharines,0.0
saleCategory_Renovation,0.0
city_Markham,0.0
region_Kingston,0.0
items_single_timestamp,0.0
items_pair_year,0.0
items_pair_month,0.0
items_pair_day,0.0
items_pair_hour,0.0
items_pair_dayofweek,0.0
items_pair_timestamp,0.0
condition_unknown_dayofweek,0.0
condition_unknown_timestamp,0.0
items_single_year,0.0
items_few_year,0.0
brand_Unbranded,0.0
brand_Disney,0.0
brand_Sony,0.0
brand_DC_Comics,0.0
brand_Royal_Albert,0.0
brand_O_Pee_Chee,0.0
