feature,coefficient,abs_coefficient
attributes_count,-0.3010738313011221,0.3010738313011221
catalog_lots,0.2653414409380126,0.2653414409380126
intro_length,-0.2642673698301315,0.2642673698301315
brand_,0.2046840981374092,0.2046840981374092
is_seller_managed,0.17744521200774402,0.17744521200774402
num_items_log,-0.17591180643856835,0.17591180643856835
distanceMeters,0.1723002477506261,0.1723002477506261
combined_emb_5,-0.1419616790502285,0.1419616790502285
combined_emb_29,0.13796079397257632,0.13796079397257632
pickup_is_weekend,0.1370210980229355,0.1370210980229355
combined_emb_52,-0.1280741722831581,0.1280741722831581
combined_emb_6,0.11984263200101591,0.11984263200101591
combined_emb_8,0.10552394838292749,0.10552394838292749
brand_unbranded,0.10163958609840788,0.10163958609840788
is_single_item,-0.10135514245921178,0.10135514245921178
combined_emb_17,0.0972203165092684,0.0972203165092684
combined_emb_18,-0.09534451973847233,0.09534451973847233
combined_emb_4,-0.0922970284233348,0.0922970284233348
combined_emb_26,-0.09082143342312075,0.09082143342312075
combined_emb_7,0.09014223311484164,0.09014223311484164
combined_emb_33,-0.0895222342336025,0.0895222342336025
combined_emb_44,-0.0893342359358599,0.0893342359358599
brand_unknown,0.08622101786284579,0.08622101786284579
attr_format,0.08238603549969384,0.08238603549969384
has_partner_url,-0.07880665946230982,0.07880665946230982
combined_emb_16,0.07454523068445401,0.07454523068445401
combined_emb_27,-0.07437361979939097,0.07437361979939097
combined_emb_11,-0.06701771676661064,0.06701771676661064
cat_books,0.06685136838618858,0.06685136838618858
combined_emb_43,-0.06440536593233376,0.06440536593233376
attr_size,0.06416816987651196,0.06416816987651196
lat,0.06391378376652025,0.06391378376652025
combined_emb_58,0.061927606086170414,0.061927606086170414
brand_Royal_Doulton,-0.060918303303913124,0.060918303303913124
cat_tools,-0.06057703785121596,0.06057703785121596
combined_emb_38,0.059705324415447986,0.059705324415447986
amAuctionId,-0.058986201344153374,0.058986201344153374
cat_glassware,0.05851928557681042,0.05851928557681042
cat_jewellery,-0.058466534945477794,0.058466534945477794
condition_graded,-0.05696048409334735,0.05696048409334735
pickup_during_work_hours,0.05653999678733522,0.05653999678733522
attr_year,0.05517898101797579,0.05517898101797579
combined_emb_39,0.0534767068753369,0.0534767068753369
condition_lightly used,-0.05318634788690112,0.05318634788690112
cat_kitchenware,0.052845861108895845,0.052845861108895845
combined_emb_47,-0.05114845419452339,0.05114845419452339
combined_emb_15,-0.05109168228476252,0.05109168228476252
combined_emb_10,-0.04986549672738928,0.04986549672738928
has_attributes,0.04906463345132371,0.04906463345132371
combined_emb_46,0.048233551137434855,0.048233551137434855
brand_Pyrex,-0.04804854459781069,0.04804854459781069
combined_emb_49,0.04795488971122777,0.04795488971122777
combined_emb_9,0.04740361203592501,0.04740361203592501
cat_drinkware,0.04653491008357136,0.04653491008357136
combined_emb_22,0.04643591810004759,0.04643591810004759
attr_style,-0.04636887282484828,0.04636887282484828
combined_emb_28,-0.042725931194017144,0.042725931194017144
combined_emb_0,-0.04171767374683359,0.04171767374683359
combined_emb_34,-0.041478128554525664,0.041478128554525664
attr_color,0.03836688386949701,0.03836688386949701
combined_emb_51,-0.03820748770178228,0.03820748770178228
brand_O_Pee_Chee,0.03724160452622065,0.03724160452622065
brand_Canada_Post,-0.03708427300522918,0.03708427300522918
condition_new,0.03667392777486134,0.03667392777486134
combined_emb_20,0.03664959702721943,0.03664959702721943
numItems,-0.036053308689928884,0.036053308689928884
combined_emb_13,0.03550157429508913,0.03550157429508913
brand_Disney,0.03499802601510743,0.03499802601510743
combined_emb_59,0.03486900137407038,0.03486900137407038
combined_emb_40,-0.03405576120979316,0.03405576120979316
attr_height_in,-0.033824778004582945,0.033824778004582945
items_count,-0.03348301671592835,0.03348301671592835
combined_emb_32,-0.032840340504511456,0.032840340504511456
combined_emb_62,0.02747986870500495,0.02747986870500495
lng,-0.027404716290147457,0.027404716290147457
brand_Royal_Albert,-0.02608199658480299,0.02608199658480299
brand_Upper_Deck,0.025737313994939594,0.025737313994939594
cat_kitchen,0.024723713782576387,0.024723713782576387
items_several,0.02455495295789744,0.02455495295789744
combined_emb_41,-0.02443722090164124,0.02443722090164124
combined_emb_50,-0.024106539185172467,0.024106539185172467
combined_emb_23,0.023361755232407806,0.023361755232407806
description_length,-0.02321892622174371,0.02321892622174371
attr_height,-0.022106275634501484,0.022106275634501484
combined_emb_21,-0.022071750134672538,0.022071750134672538
combined_emb_63,-0.021634805921428607,0.021634805921428607
item_id,-0.020419412668076568,0.020419412668076568
cat_lighting,0.020375924051041484,0.020375924051041484
combined_emb_24,-0.02003992290678596,0.02003992290678596
combined_emb_57,-0.019808139917853327,0.019808139917853327
cat_clothing,0.01971089703441174,0.01971089703441174
combined_emb_19,-0.019364761049389886,0.019364761049389886
attr_pattern,-0.019164344125853397,0.019164344125853397
attr_medium,-0.019038496140880105,0.019038496140880105
brand_Royal_Canadian_Mint,-0.018633300649143286,0.018633300649143286
