feature,importance
bid_amount_std,0.1891829
last_bid_amount,0.15028332
late_bid_mean,0.12318099
bid_amount_max,0.11482895
bid_amount_range,0.07369939
bid_increment_max,0.0713053
momentum_last_5,0.045983966
manual_bid_count,0.028553259
late_bid_growth,0.027607813
bid_amount_q75,0.024923634
proxy_bid_count,0.02284563
total_bids,0.019300636
proxy_bid_ratio,0.015694903
second_bid_amount,0.013475607
bidding_duration_hours,0.011645565
early_bid_mean,0.011338391
bid_increment_std,0.01071657
early_bid_growth,0.008514477
bids_per_hour,0.008272905
third_bid_amount,0.0075964695
bid_velocity,0.0042682244
bid_amount_median,0.0034388213
bid_increment_mean,0.0034328187
bid_amount_mean,0.0032526858
bid_increment_median,0.0029724003
bid_amount_q25,0.002948421
momentum_last_10,0.0007358989
first_bid_amount,0.0
bid_amount_min,0.0
