amAuctionId,title,saleType,saleCategory,totalBids,numberLots,openTime,closeTime
102750,"Mississauga (Ontario, Canada) SELLER MANAGED Moving Online Auction - Fieldgate Drive",sellerManaged,Moving,948,85,2025-11-06T22:00:00Z,2025-11-19T01:00:00Z
103464,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Queen Street East",sellerManaged,Downsizing,393,33,2025-11-12T22:00:00Z,2025-11-18T01:45:00Z
103259,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction -  Maple Branch Path",sellerManaged,Downsizing,439,74,2025-11-12T22:00:00Z,2025-11-18T01:30:00Z
103359,"Toronto (Ontario, Canada) SELLER MANAGED Reseller Online Auction -  Weston Road (CONDO)",sellerManaged,Reseller,827,89,2025-11-10T22:00:00Z,2025-11-18T01:15:00Z
102733,"Haldimand (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Ramsey Drive (STORAGE)",sellerManaged,Downsizing,555,250,2025-11-07T22:00:00Z,2025-11-18T01:00:00Z
102500,"Trent Hills (Ontario, Canada)  PARTNER MANAGED Estate Sale Online Auction -  Trent River Road",sellerManaged,Estate Sale,2805,282,2025-11-06T22:00:00Z,2025-11-18T01:00:00Z
100570,"Newmarket (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Brimson Drive",sellerManaged,Downsizing,1633,117,2025-11-08T22:00:00Z,2025-11-18T01:00:00Z
103642,"Whitchurch-Stouffville (Ontario, Canada) SELLER MANAGED Estate Sale Online Auction - Arnie&#39;s Chance",sellerManaged,Estate Sale,2583,137,2025-11-13T12:00:00Z,2025-11-18T00:00:00Z
103393,"Hamilton (Ontario, Canada) SELLER MANAGED Estate Sale Online Auction - Gertrude Street",sellerManaged,Estate Sale,2635,110,2025-11-05T22:00:00Z,2025-11-17T01:00:00Z
103076,"Toronto (Ontario, Canada) PARTNER MANAGED Downsizing Online Auction - Queen Street East",sellerManaged,Downsizing,2914,296,2025-11-09T22:00:00Z,2025-11-17T01:00:00Z
103482,"Aurora (Ontario, Canada) SELLER MANAGED Moving Online Auction - Corner Ridge Road",sellerManaged,Moving,1254,72,2025-11-09T22:00:00Z,2025-11-16T01:00:00Z
103368,"Mississauga (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Neris Court",sellerManaged,Downsizing,1068,128,2025-11-08T22:00:00Z,2025-11-15T02:00:00Z
103392,"Markham (Ontario, Canada) SELLER MANAGED Commercial Liquidation Online Auction - Bullock Drive (STORAGE)",sellerManaged,Commercial Liquidation,260,30,2025-11-07T22:00:00Z,2025-11-15T01:45:00Z
103264,"Toronto (Ontario, Canada) Estate Sale Online Auction - Briar Hill Avenue (CONDO)",maxsoldManaged,Estate Sale,1845,140,2025-11-06T22:00:00Z,2025-11-15T01:30:00Z
103391,"Hamilton (Ontario, Canada) SELLER MANAGED Estate Sale Online Auction - Hillsdale Court",sellerManaged,Estate Sale,436,53,2025-11-08T22:00:00Z,2025-11-15T01:15:00Z
103203,"Belleville (Ontario, Canada) SELLER MANAGED Reseller Online Auction - South John Street",sellerManaged,Reseller,902,224,2025-11-05T22:00:00Z,2025-11-15T01:15:00Z
103197,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Rosedale Heights Drive",sellerManaged,Downsizing,426,42,2025-11-06T22:00:00Z,2025-11-15T01:15:00Z
103321,"Colborne (Ontario, Canada) SELLER MANAGED Reseller Online Auction - King Street East",sellerManaged,Reseller,635,79,2025-11-07T22:00:00Z,2025-11-15T01:00:00Z
102813,"Hamilton (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Stone Church Road East",sellerManaged,Downsizing,482,100,2025-11-04T22:00:00Z,2025-11-15T01:00:00Z
102704,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Dufferin Street",sellerManaged,Downsizing,285,45,2025-11-04T22:00:00Z,2025-11-15T01:00:00Z
102535,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Thome",sellerManaged,Downsizing,779,68,2025-11-08T22:00:00Z,2025-11-15T01:00:00Z
103513,"Vaughan (Ontario, Canada) PARTNER MANAGED Reseller Online Auction - Steeles Avenue West",sellerManaged,Reseller,605,18,2025-11-08T22:00:00Z,2025-11-15T00:45:00Z
102936,"Toronto (Ontario, Canada) PARTNER MANAGED Downsizing Online Auction - Research Road (STORAGE)",sellerManaged,Downsizing,453,50,2025-11-08T22:00:00Z,2025-11-15T00:30:00Z
103341,"Toronto (Ontario, Canada) SELLER MANAGED Downsizing Online Auction - Lunness Road",sellerManaged,Downsizing,464,50,2025-11-09T22:00:00Z,2025-11-15T00:15:00Z
